Message Log File Created
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1392743838959009813, Message: 
Member ID: 908714678102917160, Member Name: takamatsu.tomorin, Channel ID: 1392743838959009813, Message: 
Member ID: 331772998941933579, Member Name: ppment, Channel ID: 1392895662793818152, Message: 
Member ID: 331772998941933579, Member Name: ppment, Channel ID: 1392895662793818152, Message: 
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392895662793818152, Message: 
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: 
Member ID: 908714678102917160, Member Name: takamatsu.tomorin, Channel ID: 1392743838959009813, Message: 
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: 
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: 
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: 
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: 
Member ID: 879008087560830986, Member Name: slpzzl, Channel ID: 1392743838959009813, Message: 
Member ID: 879008087560830986, Member Name: slpzzl, Channel ID: 1392743838959009813, Message: 
Member ID: 548840903326957598, Member Name: colahk123, Channel ID: 1392743838959009813, Message: 
Member ID: 879008087560830986, Member Name: slpzzl, Channel ID: 1392743838959009813, Message: 
Member ID: 879008087560830986, Member Name: slpzzl, Channel ID: 1392743838959009813, Message: 
Member ID: 879008087560830986, Member Name: slpzzl, Channel ID: 1392743838959009813, Message: 
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: 
Member ID: 304135387381628928, Member Name: clys_, Channel ID: 1392743838959009813, Message: 
Member ID: 879008087560830986, Member Name: slpzzl, Channel ID: 1392743838959009813, Message: 
Member ID: 879008087560830986, Member Name: slpzzl, Channel ID: 1392743838959009813, Message: 
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: 
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: 
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: 
Member ID: 304135387381628928, Member Name: clys_, Channel ID: 1392745091206217728, Message: 
Member ID: 304135387381628928, Member Name: clys_, Channel ID: 1392745091206217728, Message: 
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: 111
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: 啊屌 好L柒
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: 唔怪得話一直無intent
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !lastMessage
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !relaod message_log
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !reload message_log
Member ID: 908714678102917160, Member Name: takamatsu.tomorin, Channel ID: 1392743838959009813, Message: # 好撚開心啊今日
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !lastMessage
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !join
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1394950973243523072, Message: apex anyone?
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1394950973243523072, Message: 今晚
Member ID: 331772998941933579, Member Name: ppment, Channel ID: 1392743838959009813, Message: # 好撚唔開心啊今日
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !join
Member ID: 312243816197390336, Member Name: grey.1229, Channel ID: 1392748599518957729, Message: 有花生？
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !leave
Member ID: 312243816197390336, Member Name: grey.1229, Channel ID: 1392748599518957729, Message: 有人請食壽司郎先出
Member ID: 304135387381628928, Member Name: clys_, Channel ID: 1392743838959009813, Message: 哈
Member ID: 304135387381628928, Member Name: clys_, Channel ID: 1392743838959009813, Message: 點解我見到嗰個係騎馬
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392743838959009813, Message: 我忍唔住睇晒
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392743838959009813, Message: 咩都有
Member ID: 312243816197390336, Member Name: grey.1229, Channel ID: 1392748599518957729, Message: 加群規：入群不自介就ban😡
Member ID: 312243816197390336, Member Name: grey.1229, Channel ID: 1392743838959009813, Message: ？
Member ID: 312243816197390336, Member Name: grey.1229, Channel ID: 1392743838959009813, Message: 你gay
Member ID: 312243816197390336, Member Name: grey.1229, Channel ID: 1392743838959009813, Message: 妮姬
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392743838959009813, Message: 玩過一陣
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392743838959009813, Message: 唔啱我玩
Member ID: 312243816197390336, Member Name: grey.1229, Channel ID: 1392743838959009813, Message: 你gay過一陣？？？
Member ID: 312243816197390336, Member Name: grey.1229, Channel ID: 1392743838959009813, Message: 💩
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392743838959009813, Message: 就係一直望住pp打槍
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392743838959009813, Message: 依家想gay你
Member ID: 312243816197390336, Member Name: grey.1229, Channel ID: 1392743838959009813, Message: no
Member ID: 312243816197390336, Member Name: grey.1229, Channel ID: 1392743838959009813, Message: ban u😡
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392743838959009813, Message: <a:anon_3:1370746017133367438>
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: Me ok?
Member ID: 312243816197390336, Member Name: grey.1229, Channel ID: 1392743838959009813, Message: ban u2
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: <:Jerry:719888588908789850>
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: Sad9
Member ID: 347020654710751233, Member Name: zerowind, Channel ID: 1392748599518957729, Message: 
Member ID: 347020654710751233, Member Name: zerowind, Channel ID: 1393517373474209902, Message: 
Member ID: 331772998941933579, Member Name: ppment, Channel ID: 1392743838959009813, Message: 依家想gay你
Member ID: 600186829274087434, Member Name: qwerty8787i, Channel ID: 1392743838959009813, Message: <@691117450430775367>  commented dnlm
Member ID: 347020654710751233, Member Name: zerowind, Channel ID: 1392736082168250459, Message: 搵人頂我進度
Member ID: 600186829274087434, Member Name: qwerty8787i, Channel ID: 1392736082168250459, Message: me
Member ID: 331772998941933579, Member Name: ppment, Channel ID: 1392745091206217728, Message: Bb
Member ID: 347020654710751233, Member Name: zerowind, Channel ID: 1392736082168250459, Message: 我唔得閒
Member ID: 347020654710751233, Member Name: zerowind, Channel ID: 1392736082168250459, Message: 
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: Sorry
Member ID: 347020654710751233, Member Name: zerowind, Channel ID: 1392736082168250459, Message: nice
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: 😭😭😭😭
Member ID: 331772998941933579, Member Name: ppment, Channel ID: 1392743838959009813, Message: <@691117450430775367>  commented dnlm
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392745091206217728, Message: Hi bb
Member ID: 600186829274087434, Member Name: qwerty8787i, Channel ID: 1392736082168250459, Message: u guys ok then I replace
Member ID: 594791477423505419, Member Name: beer_0107, Channel ID: 1392743838959009813, Message: 
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392743838959009813, Message: <@691117450430775367>  commented dnlm
Member ID: 600186829274087434, Member Name: qwerty8787i, Channel ID: 1392736082168250459, Message: when
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: 😭
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: Sorry bb們
Member ID: 331772998941933579, Member Name: ppment, Channel ID: 1392743838959009813, Message: 😭
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: <:mutsumi_17:1332051737800081488>
Member ID: 331772998941933579, Member Name: ppment, Channel ID: 1392743838959009813, Message: LV 12+ what song ho play
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: Thx bro
Member ID: 347020654710751233, Member Name: zerowind, Channel ID: 1392743838959009813, Message: 死亡燈光<:bocchi_1:1393049648033435729>
Member ID: 879008087560830986, Member Name: slpzzl, Channel ID: 1392743838959009813, Message: 
Member ID: 879008087560830986, Member Name: slpzzl, Channel ID: 1392743838959009813, Message: Wtf
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392743838959009813, Message: cryptarithm
Member ID: 879008087560830986, Member Name: slpzzl, Channel ID: 1392743838959009813, Message: <:486:1393059109368107008>
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392743838959009813, Message: 好聽好玩
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392743838959009813, Message: 搵到財富密碼
Member ID: 287916939265966080, Member Name: edge8299, Channel ID: 1394958700057464944, Message: dand 129 --> 751
Member ID: 879008087560830986, Member Name: slpzzl, Channel ID: 1392743838959009813, Message: 我又做代購 準備發達
Member ID: 331772998941933579, Member Name: ppment, Channel ID: 1392743838959009813, Message: Still have ?
Member ID: 331772998941933579, Member Name: ppment, Channel ID: 1392743838959009813, Message: 我又做代購 準備發達
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: Yes
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: 我又做代購 準備發達
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392743838959009813, Message: 我又做代購 準備發達
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392743838959009813, Message: 大家一齊去日本
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392736082168250459, Message: 我以前已經玩到上天界
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392736082168250459, Message: 應該有7-8成
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: go
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: 下年solo grad trip
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: <:mtm_1:1393049251323449535>
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392743838959009813, Message: 大家都solo grad trip。3。
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392743838959009813, Message: <:mtm_1:1393049251323449535>
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: 一齊？
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: <:mtm_1:1393049251323449535>
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392743838959009813, Message: 可以
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: 我想打日本mai
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: 仲有聖地巡禮
Member ID: 879008087560830986, Member Name: slpzzl, Channel ID: 1392736082168250459, Message: 我哋都係啱啱上天界
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: <:anon_16:1331589413066772553>
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392743838959009813, Message: 到時應該換左代
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392743838959009813, Message: 我都想打
Member ID: 691117450430775367, Member Name: jackyy911_, Channel ID: 1392743838959009813, Message: 是
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392743838959009813, Message: 希望到時我已經w5
Member ID: 347020654710751233, Member Name: zerowind, Channel ID: 1392743838959009813, Message: 8蚊枝 7仔價
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392736082168250459, Message: 咁啱啱好跟返進度
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392736082168250459, Message: <:sakiko:1362760221117911181>
Member ID: 304135387381628928, Member Name: clys_, Channel ID: 1392743838959009813, Message: 呢支難飲到sir
Member ID: 304135387381628928, Member Name: clys_, Channel ID: 1392743838959009813, Message: 薩達姆奶茶 >>>>>>>
Member ID: 879008087560830986, Member Name: slpzzl, Channel ID: 1392743838959009813, Message: 批發商買應該平啲
Member ID: 879008087560830986, Member Name: slpzzl, Channel ID: 1392743838959009813, Message: 我冇飲過
Member ID: 879008087560830986, Member Name: slpzzl, Channel ID: 1392743838959009813, Message: <:1_misumi_Domortis:1369708994414903446>
Member ID: 879008087560830986, Member Name: slpzzl, Channel ID: 1392736082168250459, Message: <:suzumiya_1:1393090884324823072>
Member ID: 304135387381628928, Member Name: clys_, Channel ID: 1392743838959009813, Message: 中學售賣機買過一次
Member ID: 304135387381628928, Member Name: clys_, Channel ID: 1392743838959009813, Message: latent kingdom
Member ID: 593861658401701888, Member Name: sakura_emo, Channel ID: 1392745091206217728, Message: 我的已經忘了放哪了<:bocchi_2:1393094958847627294>
Member ID: 536189102022721547, Member Name: solarlo, Channel ID: 1392745091206217728, Message: <:bocchi_2:1393094958847627294>
Member ID: 908714678102917160, Member Name: takamatsu.tomorin, Channel ID: 1392743838959009813, Message: 今日
Member ID: 908714678102917160, Member Name: takamatsu.tomorin, Channel ID: 1392743838959009813, Message: 我唔係Kam L
Member ID: 908714678102917160, Member Name: takamatsu.tomorin, Channel ID: 1392743838959009813, Message: 我識主動問coser合照
Member ID: 312243816197390336, Member Name: grey.1229, Channel ID: 1392743838959009813, Message: hi can I 影u嗲斯？
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !play
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !join
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !play https://www.youtube.com/watch?v=KeC0EZ_szJM
Member ID: 331772998941933579, Member Name: ppment, Channel ID: 1392743838959009813, Message: 我唔係Kam L
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !join\
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !join
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !play https://www.youtube.com/watch?v=KeC0EZ_szJM
Member ID: 908714678102917160, Member Name: takamatsu.tomorin, Channel ID: 1392743838959009813, Message: 今日算主動問
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !join
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !play https://www.youtube.com/watch?v=KeC0EZ_szJM
Member ID: 304135387381628928, Member Name: clys_, Channel ID: 1392745091206217728, Message: 不是
Member ID: 347020654710751233, Member Name: zerowind, Channel ID: 1392743838959009813, Message: 我敢影 敢del 相
但唔敢同coser 影相
Member ID: 304135387381628928, Member Name: clys_, Channel ID: 1392745091206217728, Message: 我阿哥同房
Member ID: 347020654710751233, Member Name: zerowind, Channel ID: 1392743838959009813, Message: <:bocchi_2:1393094958847627294>
Member ID: 304135387381628928, Member Name: clys_, Channel ID: 1392745091206217728, Message: 成日fbi open up 唔敲門走入嚟
Member ID: 304135387381628928, Member Name: clys_, Channel ID: 1392745091206217728, Message: <:bocchi_1:1393049648033435729> <:bocchi_1:1393049648033435729>
Member ID: 842356691252936704, Member Name: ano_1021, Channel ID: 1392745091206217728, Message: 慘
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !join
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !join
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !play https://www.youtube.com/watch?v=KeC0EZ_szJM
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !leave
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !reload music
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !join
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: !play https://www.youtube.com/watch?v=KeC0EZ_szJM
Member ID: 504992578178121729, Member Name: yueyeouo, Channel ID: 1393517373474209902, Message: 狗咬音質
